id;ident;type;name;latitude_deg;longitude_deg;elevation_ft;continent;iso_country;iso_region;municipality;scheduled_service;icao_code;iata_code;gps_code;local_code;home_link;wikipedia_link;keywords
1340;CYKM;medium_airport;Kincardine Municipal Airport;44.201.401;-81.606.697;772;NA;CA;CA-ON;Kincardine;no;CYKM;YKD;CYKM;CYKM;http://www.kincardineairport.com/;https://en.wikipedia.org/wiki/Kincardine_Airport;NS7, CNS7
1293;CYLS;medium_airport;Barrie-Lake Simcoe Regional Airport;44.485.056;-79.554.663;972;NA;CA;CA-ON;Barrie;yes;CYLS;YLK;CYLS;CYLS;http://www.lakesimcoeairport.com/;https://en.wikipedia.org/wiki/Barrie-Orillia_(Lake_Simcoe_Regional)_Airport;NB9, CNB9, Oro Station
1824;CYND;medium_airport;Ottawa / Gatineau Airport;45.521.702;-75.563.599;211;NA;CA;CA-QC;Gatineau;yes;CYND;YND;CYND;CYND;http://www.ego-airport.ca/english/propos_ego/;https://en.wikipedia.org/wiki/Ottawa-Gatineau_Airport;YND
1840;CYOW;large_airport;Ottawa Macdonald-Cartier International Airport;45.322.498;-75.669.197;374;NA;CA;CA-ON;Ottawa;yes;CYOW;YOW;CYOW;YOW;https://yow.ca/;https://en.wikipedia.org/wiki/Ottawa_Macdonald%E2%80%93Cartier_International_Airport;Uplands, UUP, CUUP
1864;CYQB;large_airport;Quebec Jean Lesage International Airport;467.911;-71.393.303;244;NA;CA;CA-QC;Quebec;yes;CYQB;YQB;CYQB;YQB;http://www.aeroportdequebec.com/;https://en.wikipedia.org/wiki/Qu%C3%A9bec/Jean_Lesage_International_Airport;Quebec City
1891;CYRO;medium_airport;Ottawa / Rockcliffe Airport;454.603.004.456;-7.564.610.290.530.000;188;NA;CA;CA-ON;Ottawa;no;CYRO;YRO;CYRO;CYRO;http://www.rfc.ca/;https://en.wikipedia.org/wiki/Ottawa/Rockcliffe_Airport;YRO
1928;CYUL;large_airport;Montreal / Pierre Elliott Trudeau International Airport;45.467.837;-73.742.294;118;NA;CA;CA-QC;MontrÃ©al;yes;CYUL;YUL;CYUL;YUL;http://www.admtl.com/passager/Home.aspx;https://en.wikipedia.org/wiki/MontrÃ©alâ€“Trudeau_International_Airport;YMQ, Dorval Airport
1946;CYWG;large_airport;Winnipeg / James Armstrong Richardson International Airport;49.909.999.847.399.900;-972.398.986.816;783;NA;CA;CA-MB;Winnipeg;yes;CYWG;YWG;CYWG;YWG;http://www.waa.ca/;https://en.wikipedia.org/wiki/Winnipeg_James_Armstrong_Richardson_International_Airport;CFB Winnipeg
1990;CYYZ;large_airport;Toronto Lester B. Pearson International Airport;436.772;-796.306;569;NA;CA;CA-ON;Toronto;yes;CYYZ;YYZ;CYYZ;YYZ;http://www.gtaa.com/;https://en.wikipedia.org/wiki/Toronto_Pearson_International_Airport;YTO, Toronto International Airport, Malton
2003;CYZX;medium_airport;CFB Greenwood;4.498.440.170.288.080;-6.491.690.063.476.560;92;NA;CA;CA-NS;Greenwood;no;CYZX;YZX;CYZX;;;https://en.wikipedia.org/wiki/CFB_Greenwood;Greenwood Airport
