"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","icao_code","iata_code","gps_code","local_code","home_link","wikipedia_link","keywords"
3,"AGGH","large_airport","Honiara International Airport","-9,428","160,054993",28,"OC","SB","SB-GU","Honiara","yes","AGGH","HIR","AGGH",,,"https://en.wikipedia.org/wiki/Honiara_International_Airport","Henderson Field"
4,"AGGM","medium_airport","Munda Airport","-8,32797","157,263",10,"OC","SB","SB-WE","Munda","yes","AGGM","MUA","AGGM",,,"https://en.wikipedia.org/wiki/Munda_Airport",
8,"ANYN","medium_airport","Nauru International Airport","-0,547458","166,919006",22,"OC","NR","NR-14","Yaren District","yes","ANYN","INU","ANYN",,,"https://en.wikipedia.org/wiki/Nauru_International_Airport",
314558,"AXF","medium_airport","Alxa Left Banner Bayanhot Airport","38,748317","105,58416",4560,"AS","CN","CN-15","Bayanhot","yes","ZBAL","AXF","ZBAL",,,"https://en.wikipedia.org/wiki/Alxa_Left_Banner_Bayanhot_Airport",
35179,"AYBA","medium_airport","Baimuru Airport","-7,496955","144,821756",27,"OC","PG","PG-GPK","Baimuru","yes","AYBA","VMU","AYBA","BMU",,"https://en.wikipedia.org/wiki/Baimuru_Airport",
53,"AYBK","medium_airport","Buka Airport","-5,422299","154,672698",11,"OC","PG","PG-NSB","Buka Island","yes","AYBK","BUA","AYBK",,,"https://en.wikipedia.org/wiki/Buka_Airport",
35180,"AYBM","medium_airport","Balimo Airport","-8,050000191","142,9329987",51,"OC","PG","PG-WPD","Balimo","yes","AYBM","OPU","AYBM","BLI",,"https://en.wikipedia.org/wiki/Balimo_Airport",
54,"AYCH","medium_airport","Chimbu Airport","-6,024290085","144,970993",4974,"OC","PG","PG-CPK","Kundiawa","yes","AYCH","CMU","AYCH",,,"https://en.wikipedia.org/wiki/Chimbu_Airport",
55,"AYDU","medium_airport","Daru Airport","-9,08676","143,207993",20,"OC","PG","PG-WPD","Daru","yes","AYDU","DAU","AYDU",,,"https://en.wikipedia.org/wiki/Daru_Airport",
56,"AYGA","medium_airport","Goroka Airport","-6,081689835","145,3919983",5282,"OC","PG","PG-EHG","Goronka","yes","AYGA","GKA","AYGA",,,"https://en.wikipedia.org/wiki/Goroka_Airport",
